X,Voice,Number,Subject,Reflexive,TempLoc,Aspect,SpatAdv,Epoch,RelClause,Aux
187,Passive,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
188,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
189,Passive,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
190,Active,Sg,Subj,Reflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
191,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
192,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
193,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,RelCl,Aux
194,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
195,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
196,Active,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,NoRelCl,NoAux
197,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
198,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,NoAux
199,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
200,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
201,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,NoAux
202,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
203,Active,Pl,NoSubj,Reflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,Aux
204,Active,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,NoRelCl,Aux
205,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
206,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
207,Active,Pl,Subj,Nonreflexive,FALSE,Impf,SpatAdv,middle,NoRelCl,Aux
208,Active,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,NoRelCl,NoAux
209,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
210,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,RelCl,Aux
211,Passive,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,Aux
212,Passive,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,RelCl,Aux
213,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,RelCl,NoAux
214,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,Aux
215,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,Aux
216,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,late,NoRelCl,NoAux
217,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,RelCl,Aux
218,Active,Sg,Subj,Nonreflexive,FALSE,Impf,SpatAdv,late,RelCl,NoAux
219,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,late,RelCl,NoAux
220,Passive,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,NoAux
221,Active,Sg,NoSubj,Reflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
222,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,Aux
223,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,late,NoRelCl,NoAux
224,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,late,NoRelCl,NoAux
