X,Base,PrefixedVerb,ShiftTrans,Prefix,PrefixStacking,ShiftAspect,BaseFreqWrong,FreqPrefVerb,PerfectiveType,SemanticGroup,SemanticGroupFullName,OtherPrefPossible,FreqBase,SemanticGroupVery,SemanticGroupProto,Frequency,Outcomes,Cues
128,_________,_____________,tr-tr,pere,notStacked,imp-pf,22,1,specialized,overdo,overdo,no,22,FALSE,FALSE,1,pere,notStacked_imp-pf_overdo_tr-tr_specialized
129,no,_______________,no-tr,pere,notStacked,no-imp,0,3,not-applicable,redo,redo,no,0,FALSE,FALSE,3,pere,notStacked_no-imp_redo_no-tr_not-applicable
130,_________,_____________,tr-tr,pere,notStacked,imp-pf,70,2,specialized,redo,redo,no,70,FALSE,FALSE,2,pere,notStacked_imp-pf_redo_tr-tr_specialized
131,no,_______________,no-tr,pere,notStacked,no-imp,0,1,not-applicable,redo,redo,no,0,FALSE,FALSE,1,pere,notStacked_no-imp_redo_no-tr_not-applicable
132,_______,___________,tr-tr,pere,notStacked,imp-pf,1271,4,specialized,seria,seriatim,no,1271,FALSE,FALSE,4,pere,notStacked_imp-pf_seria_tr-tr_specialized
133,_______,___________,tr-tr,pere,notStacked,imp-pf,1271,4,specialized,transf,transfer,no,1271,FALSE,TRUE,4,pere,notStacked_imp-pf_transf_tr-tr_specialized
134,____,________,tr-tr,pere,notStacked,imp-pf,4149,156,specialized,redo,redo,no,4149,FALSE,FALSE,156,pere,notStacked_imp-pf_redo_tr-tr_specialized
135,no,____________,no-intr,pere,notStacked,no-imp,0,7,not-applicable,redo,redo,no,0,FALSE,FALSE,7,pere,notStacked_no-imp_redo_no-intr_not-applicable
136,no,__________,no-tr,pere,notStacked,no-imp,0,95,not-applicable,redo,redo,no,0,FALSE,FALSE,95,pere,notStacked_no-imp_redo_no-tr_not-applicable
137,no,__________,no-tr,pere,notStacked,no-pf,0,293,specialized,div,divide,no,0,FALSE,FALSE,293,pere,notStacked_no-pf_div_no-tr_specialized
138,no,____________,no-intr,pere,notStacked,no-imp,0,2,not-applicable,div,divide,no,0,FALSE,FALSE,2,pere,notStacked_no-imp_div_no-intr_not-applicable
139,______,__________,tr-tr,pere,notStacked,imp-imp,112,37,not-applicable,div,divide,no,112,FALSE,FALSE,37,pere,notStacked_imp-imp_div_tr-tr_not-applicable
140,______,__________,tr-tr,pere,notStacked,imp-imp,112,37,not-applicable,seria,seriatim,no,112,FALSE,FALSE,37,pere,notStacked_imp-imp_seria_tr-tr_not-applicable
141,________,____________,tr-tr,pere,notStacked,imp-pf,1669,11,specialized,seria,seriatim,no,1669,FALSE,FALSE,11,pere,notStacked_imp-pf_seria_tr-tr_specialized
